"Nome do anúncio",Objetivo,"Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Dia,"Status de veiculação","Nível de veiculação","Tipo de resultado",Resultados,"Custo por resultado","Valor gasto (BRL)",Impressões,Alcance,"Configuração de atribuição","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Nome do conjunto de anúncios",Hook,"Início dos relatórios","Encerramento dos relatórios"
Estático02,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431270675,2026-08-19,active,ad,,,,6.92,418,327,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-19,2026-08-19
Estático01,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250711876060675,2026-08-19,active,ad,"Conversas por mensagem iniciadas",2,1.46,2.92,133,91,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0,2026-08-19,2026-08-19
Vídeo-01,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431280675,2026-08-19,active,ad,,,,0.36,17,17,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0.23529412,2026-08-19,2026-08-19
Estático02,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250711928600675,2026-08-19,active,ad,"Conversas por mensagem iniciadas",1,27.64,27.64,1841,1505,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0,2026-08-19,2026-08-19
Vídeo-01,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250681959970675,2026-08-19,active,ad,,,,0.38,10,9,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0.6,2026-08-19,2026-08-19
Estático04,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250733983090675,2026-08-19,inactive,ad,,,,2.03,120,106,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-19,2026-08-19
Estático03,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250733933560675,2026-08-19,active,ad,,,,15.26,1869,1485,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-19,2026-08-19
Estático01,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431240675,2026-08-19,inactive,ad,"Conversas por mensagem iniciadas",1,2.77,2.77,167,139,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-19,2026-08-19
Estático02,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431270675,2026-08-18,active,ad,"Conversas por mensagem iniciadas",1,4.25,4.25,225,203,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-18,2026-08-18
Estático01,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431240675,2026-08-18,inactive,ad,,,,7.42,370,258,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-18,2026-08-18
